Date,Adj Close
1/2/2014,25.9025
1/3/2014,25.953524
1/6/2014,25.979033
1/7/2014,26.140604
1/8/2014,26.319183
1/9/2014,26.302177
1/10/2014,26.098089
1/13/2014,25.970531
1/14/2014,26.361702
1/15/2014,26.514765
1/16/2014,26.506268
1/17/2014,26.438236
1/21/2014,26.557293
1/22/2014,26.591303
1/23/2014,26.370209
1/24/2014,25.587856
1/27/2014,25.222197
1/28/2014,25.868486
1/29/2014,25.604872
1/30/2014,26.208632
1/31/2014,25.851475
2/3/2014,26.021557
2/4/2014,26.73587
2/5/2014,26.28141
2/6/2014,26.44433
2/7/2014,26.770166
2/10/2014,26.984539
2/11/2014,27.336098
2/12/2014,27.10458
2/13/2014,27.181755
2/14/2014,27.387548
2/18/2014,27.336098
2/19/2014,26.993109
2/20/2014,27.053133
2/21/2014,26.975962
2/24/2014,27.430422
2/25/2014,27.344669
2/26/2014,27.430422
2/27/2014,27.636215
2/28/2014,27.533321
3/3/2014,27.421846
3/4/2014,28.030647
3/5/2014,28.082094
3/6/2014,27.833429
3/7/2014,27.807707
3/10/2014,27.773409
3/11/2014,27.799131
3/12/2014,27.421846
3/13/2014,26.684423
3/14/2014,26.778746
3/17/2014,26.941662
3/18/2014,27.378971
3/19/2014,27.190327
3/20/2014,27.361822
3/21/2014,27.59334
3/24/2014,27.001684
3/25/2014,27.284649
3/26/2014,27.59334
3/27/2014,27.524744
3/28/2014,27.336098
3/31/2014,27.541889
4/1/2014,27.39612
4/2/2014,27.687664
4/3/2014,27.781984
4/4/2014,27.576187
4/7/2014,26.753019
4/8/2014,26.470053
4/9/2014,26.778746
4/10/2014,26.247116
4/11/2014,25.604012
4/14/2014,25.612587
4/15/2014,25.629738
4/16/2014,25.801231
4/17/2014,25.938425
4/21/2014,26.461483
4/22/2014,26.58153
4/23/2014,26.512926
4/24/2014,26.332861
4/25/2014,26.367157
4/28/2014,27.473295
4/29/2014,27.233202
4/30/2014,26.821619
5/1/2014,26.710142
5/2/2014,26.367157
5/5/2014,25.689756
